#SampleID	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Genus	Species	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	source_material_id	SRA Study	create_date	version
SRR5836501	AMPLICON	151	3745555	PRJNA394790	SAMN07360655	Metagenome or environmental	2050266	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/9/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013264	Madagascar	Africa	"Madagascar:Ranomafana\	Ambatolahy"	Ptychadena	mascareniensis	Illumina MiSeq	Skin swab	21.24831 S 47.42994 E	J2.9	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J2.9	DNA extracted from sample J2.9	SRP112703	2017-07-18T09:09:00Z	1
SRR5836502	AMPLICON	151	3463487	PRJNA394790	SAMN07360152	Metagenome or environmental	1748588	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/25/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013263	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Boophis	rappiodes	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.3	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.3	DNA extracted from sample J7.3	SRP112703	2017-07-18T09:09:00Z	1
SRR5836503	AMPLICON	151	18662996	PRJNA394790	SAMN07360167	Metagenome or environmental	9986981	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/26/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013262	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Dyscophus	guineti	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.30	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.30	DNA extracted from sample J7.30	SRP112703	2017-07-18T09:09:00Z	1
SRR5836504	AMPLICON	151	7461665	PRJNA394790	SAMN07360184	Metagenome or environmental	3651046	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/26/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013261	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Mantella	milotympanum	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.26	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.26	DNA extracted from sample J7.26	SRP112703	2017-07-18T09:09:00Z	1
SRR5836505	AMPLICON	151	3198331	PRJNA394790	SAMN07360164	Metagenome or environmental	1429033	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/26/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013260	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Dyscophus	guineti	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.27	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.27	DNA extracted from sample J7.27	SRP112703	2017-07-18T09:09:00Z	1
SRR5836506	AMPLICON	151	10839384	PRJNA394790	SAMN07360165	Metagenome or environmental	5430678	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/26/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013259	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Dyscophus	guineti	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.28	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.28	DNA extracted from sample J7.28	SRP112703	2017-07-18T09:09:00Z	1
SRR5836507	AMPLICON	151	4414636	PRJNA394790	SAMN07360166	Metagenome or environmental	1903709	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/26/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013258	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Dyscophus	guineti	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.29	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.29	DNA extracted from sample J7.29	SRP112703	2017-07-18T09:09:00Z	1
SRR5836508	AMPLICON	151	7488694	PRJNA394790	SAMN07360180	Metagenome or environmental	3345619	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/26/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013257	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Mantella	milotympanum	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.22	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.22	DNA extracted from sample J7.22	SRP112703	2017-07-18T09:09:00Z	1
SRR5836509	AMPLICON	151	5878279	PRJNA394790	SAMN07360181	Metagenome or environmental	2975860	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/26/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013256	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Mantella	milotympanum	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.23	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.23	DNA extracted from sample J7.23	SRP112703	2017-07-18T09:09:00Z	1
SRR5836510	AMPLICON	151	2783836	PRJNA394790	SAMN07360182	Metagenome or environmental	1266263	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/26/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013255	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Mantella	milotympanum	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.24	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.24	DNA extracted from sample J7.24	SRP112703	2017-07-18T09:09:00Z	1
SRR5836511	AMPLICON	151	5509084	PRJNA394790	SAMN07360183	Metagenome or environmental	2972225	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/26/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013254	Madagascar	Africa	"Madagascar:Fierenana\	Beravotavo"	Mantella	milotympanum	Illumina MiSeq	Skin swab	18.60177 S 48.43417 E	J7.25	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J7.25	DNA extracted from sample J7.25	SRP112703	2017-07-18T09:09:00Z	1
SRR5836512	AMPLICON	151	3064092	PRJNA394790	SAMN07360477	Metagenome or environmental	1633049	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/5/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013253	Madagascar	Africa	"Madagascar:Farankaraina\	NosyMangabe"	Gephyromantis	asper	Illumina MiSeq	Skin swab	15.499 S 49.7627 E	Gephyromantis.asper.8.023.1267823	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.asper.8.023.1267823	DNA extracted from sample Gephyromantis.asper.8.023.1267823	SRP112703	2017-07-18T09:09:00Z	1
SRR5836513	AMPLICON	151	1549713	PRJNA394790	SAMN07360478	Metagenome or environmental	883120	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/5/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013252	Madagascar	Africa	"Madagascar:Farankaraina\	NosyMangabe"	Gephyromantis	asper	Illumina MiSeq	Skin swab	15.499 S 49.7627 E	Gephyromantis.asper.8.026.1267712	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.asper.8.026.1267712	DNA extracted from sample Gephyromantis.asper.8.026.1267712	SRP112703	2017-07-18T09:09:00Z	1
SRR5836514	AMPLICON	151	2447408	PRJNA394790	SAMN07359783	Metagenome or environmental	1387940	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013251	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	asper	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	GA3	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	GA3	DNA extracted from sample GA3	SRP112703	2017-07-18T09:09:00Z	1
SRR5836515	AMPLICON	151	4002557	PRJNA394790	SAMN07359784	Metagenome or environmental	2209748	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013250	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	asper	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	GA4	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	GA4	DNA extracted from sample GA4	SRP112703	2017-07-18T09:09:00Z	1
SRR5836516	AMPLICON	151	3538987	PRJNA394790	SAMN07359860	Metagenome or environmental	2051690	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	11/14/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013249	Madagascar	Africa	"Madagascar:Andringitra\	BaseForest"	Boophis	microtympanum	Illumina MiSeq	Skin swab	22.14624 S 46.94767 E	Fr549.S2	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr549.S2	DNA extracted from sample Fr549.S2	SRP112703	2017-07-18T09:09:00Z	1
SRR5836517	AMPLICON	151	9380875	PRJNA394790	SAMN07359782	Metagenome or environmental	5055310	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013248	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	asper	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	GA2	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	GA2	DNA extracted from sample GA2	SRP112703	2017-07-18T09:09:00Z	1
SRR5836518	AMPLICON	151	7485674	PRJNA394790	SAMN07360138	Metagenome or environmental	4112205	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	8/24/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013247	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	asper	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	Gephyromantis.asper.3.066.1267635	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.asper.3.066.1267635	DNA extracted from sample Gephyromantis.asper.3.066.1267635	SRP112703	2017-07-18T09:09:00Z	1
SRR5836519	AMPLICON	151	5580960	PRJNA394790	SAMN07360139	Metagenome or environmental	2791709	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	8/24/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013246	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	asper	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	Gephyromantis.asper.3.067.1267749	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.asper.3.067.1267749	DNA extracted from sample Gephyromantis.asper.3.067.1267749	SRP112703	2017-07-18T09:09:00Z	1
SRR5836520	AMPLICON	151	2371606	PRJNA394790	SAMN07359785	Metagenome or environmental	1300768	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013245	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	asper	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	GA5	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	GA5	DNA extracted from sample GA5	SRP112703	2017-07-18T09:09:00Z	1
SRR5836521	AMPLICON	151	11917826	PRJNA394790	SAMN07360375	Metagenome or environmental	6492665	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/4/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013244	Madagascar	Africa	"Madagascar:Farankaraina\	Station"	Gephyromantis	silvanus	Illumina MiSeq	Skin swab	15.26002 S 49.50459 E	Gephryomantis.sylvanus.7.052.1267801	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephryomantis.sylvanus.7.052.1267801	DNA extracted from sample Gephryomantis.sylvanus.7.052.1267801	SRP112703	2017-07-18T09:09:00Z	1
